index,predicted_mean
2022-05-05,86.83548388742368
2022-05-06,86.83548388742267
2022-05-07,86.8354838874171
2022-05-08,86.83548388740853
2022-05-09,86.83548388739916
2022-05-10,86.8354838873913
2022-05-11,86.8354838873868
2022-05-12,86.83548388738663
2022-05-13,86.83548388739065
2022-05-14,86.83548388739773
2022-05-15,86.835483887406
2022-05-16,86.8354838874134
2022-05-17,86.83548388741819
2022-05-18,86.83548388741927
2022-05-19,86.83548388741656
2022-05-20,86.83548388741086
2022-05-21,86.83548388740367
2022-05-22,86.8354838873968
2022-05-23,86.83548388739192
2022-05-24,86.83548388739014
2022-05-25,86.83548388739176
2022-05-26,86.83548388739625
2022-05-27,86.8354838874024
2022-05-28,86.83548388740867
2022-05-29,86.83548388741349
2022-05-30,86.83548388741578
2022-05-31,86.83548388741505
2022-06-01,86.83548388741163
2022-06-02,86.83548388740644
2022-06-03,86.83548388740083
2022-06-04,86.83548388739617
2022-06-05,86.83548388739355
2022-06-06,86.83548388739355
2022-06-07,86.83548388739605
2022-06-08,86.83548388740034
2022-06-09,86.83548388740532
2022-06-10,86.83548388740972
2022-06-11,86.83548388741251
2022-06-12,86.83548388741308
2022-06-13,86.83548388741137
2022-06-14,86.83548388740789
2022-06-15,86.83548388740356
2022-06-16,86.83548388739948
2022-06-17,86.8354838873966
2022-06-18,86.83548388739561
2022-06-19,86.83548388739666
2022-06-20,86.8354838873994
2022-06-21,86.83548388740313
2022-06-22,86.83548388740687
2022-06-23,86.83548388740971
2022-06-24,86.83548388741102
2022-06-25,86.8354838874105
2022-06-26,86.8354838874084
2022-06-27,86.83548388740526
2022-06-28,86.83548388740189
2022-06-29,86.83548388739914
2022-06-30,86.83548388739763
2022-07-01,86.83548388739769
2022-07-02,86.83548388739925
2022-07-03,86.83548388740185
2022-07-04,86.83548388740483
2022-07-05,86.83548388740745
2022-07-06,86.83548388740908
2022-07-07,86.83548388740937
2022-07-08,86.83548388740829
2022-07-09,86.83548388740617
2022-07-10,86.83548388740357
2022-07-11,86.83548388740113
2022-07-12,86.83548388739945
2022-07-13,86.8354838873989
2022-07-14,86.83548388739958
2022-07-15,86.83548388740125
2022-07-16,86.8354838874035
2022-07-17,86.83548388740573
2022-07-18,86.8354838874074
2022-07-19,86.83548388740815
2022-07-20,86.8354838874078
2022-07-21,86.83548388740651
2022-07-22,86.8354838874046
2022-07-23,86.83548388740259
2022-07-24,86.83548388740097
2022-07-25,86.83548388740009
2022-07-26,86.83548388740016
2022-07-27,86.83548388740113
2022-07-28,86.8354838874027
2022-07-29,86.8354838874045
2022-07-30,86.83548388740606
2022-07-31,86.835483887407
2022-08-01,86.83548388740714
2022-08-02,86.83548388740647
2022-08-03,86.83548388740518
2022-08-04,86.83548388740361
2022-08-05,86.83548388740216
2022-08-06,86.83548388740117
2022-08-07,86.83548388740087
2022-08-08,86.8354838874013
2022-08-09,86.83548388740233
2022-08-10,86.83548388740368
2022-08-11,86.83548388740502
2022-08-12,86.835483887406
2022-08-13,86.83548388740643
2022-08-14,86.8354838874062
2022-08-15,86.8354838874054
2022-08-16,86.83548388740425
2022-08-17,86.83548388740304
2022-08-18,86.83548388740208
2022-08-19,86.83548388740158
2022-08-20,86.83548388740164
2022-08-21,86.83548388740223
2022-08-22,86.8354838874032
2022-08-23,86.83548388740427
2022-08-24,86.83548388740519
2022-08-25,86.83548388740574
2022-08-26,86.8354838874058
2022-08-27,86.83548388740539
2022-08-28,86.8354838874046
2022-08-29,86.83548388740365
2022-08-30,86.8354838874028
2022-08-31,86.83548388740222
2022-09-01,86.83548388740205
